candidate_id,job_req_id,application_date,current_stage,technical_score,source
CAND_00001,REQ_BOT_002,2025-04-13,Screening,55.46877097800863,Referral
CAND_00002,REQ_BOT_002,2025-12-15,Hired,74.77943497593725,Referral
CAND_00003,REQ_MFG_003,2025-09-28,Technical Assessment,81.02585866995314,Referral
CAND_00004,REQ_AI_001,2025-04-17,Technical Assessment,48.82101084898314,Career Site
CAND_00005,REQ_MFG_003,2025-03-13,Hired,48.82101084898314,LinkedIn
CAND_00006,REQ_AI_001,2025-07-08,Applied,4.234227877238384,Referral
CAND_00007,REQ_MFG_003,2025-01-21,Screening,57.972615709722476,LinkedIn
CAND_00008,REQ_BOT_002,2025-04-13,Hired,45.29110702676108,LinkedIn
CAND_00009,REQ_AI_001,2025-05-02,Applied,94.8744395149711,Agency
CAND_00010,REQ_AI_001,2025-08-03,Technical Assessment,6.060490771490978,Career Site
CAND_00011,REQ_MFG_003,2025-11-27,Screening,68.53953434460057,Career Site
CAND_00012,REQ_MFG_003,2025-03-29,Screening,2.496622212005717,Agency
CAND_00013,REQ_AI_001,2026-01-08,Screening,17.143417671054273,Agency
CAND_00014,REQ_MFG_003,2025-04-10,Offer,45.357899992283414,LinkedIn
CAND_00015,REQ_MFG_003,2025-12-26,Technical Assessment,45.48724428028682,Referral
CAND_00016,REQ_MFG_003,2025-06-01,Applied,68.5700542933644,Career Site
CAND_00017,REQ_BOT_002,2025-05-11,Onsite,91.02130348677566,Referral
CAND_00018,REQ_BOT_002,2025-05-30,Applied,63.90321589149208,Referral
CAND_00019,REQ_MFG_003,2025-11-05,Applied,95.35350978515088,Agency
CAND_00020,REQ_MFG_003,2025-09-15,Screening,88.16156398779977,Referral
CAND_00021,REQ_BOT_002,2025-12-10,Screening,58.449979553079025,LinkedIn
CAND_00022,REQ_BOT_002,2025-10-21,Screening,83.37919509188274,Agency
CAND_00023,REQ_AI_001,2026-01-21,Offer,64.2577610323634,Referral
CAND_00024,REQ_AI_001,2025-07-11,Technical Assessment,7.8557830923727145,Agency
CAND_00025,REQ_BOT_002,2025-10-04,Screening,74.05647232595099,LinkedIn
CAND_00026,REQ_MFG_003,2025-06-10,Applied,9.490844126734622,LinkedIn
CAND_00027,REQ_MFG_003,2025-11-10,Offer,59.40827805697124,Referral
CAND_00028,REQ_MFG_003,2025-01-22,Offer,48.82101084898314,Agency
CAND_00029,REQ_MFG_003,2025-09-10,Technical Assessment,6.652760821085524,Referral
CAND_00030,REQ_AI_001,2025-08-24,Applied,23.079465392653177,Referral
CAND_00031,REQ_BOT_002,2025-12-11,Applied,91.56722322616498,Agency
CAND_00032,REQ_MFG_003,2025-02-18,Applied,61.631449223289636,Referral
CAND_00033,REQ_AI_001,2025-02-28,Applied,48.82101084898314,LinkedIn
CAND_00034,REQ_MFG_003,2025-06-19,Applied,69.06797711480066,Agency
CAND_00035,REQ_BOT_002,2025-07-07,Offer,59.67764199616896,Agency
CAND_00036,REQ_AI_001,2025-09-28,Screening,50.15756999179484,Agency
CAND_00037,REQ_BOT_002,2025-07-09,Applied,97.61869749880837,Agency
CAND_00038,REQ_BOT_002,2025-06-24,Applied,68.34537774075089,Referral
CAND_00039,REQ_AI_001,2025-02-20,Applied,37.544110966791266,Referral
CAND_00040,REQ_AI_001,2025-12-30,Applied,80.0073432076868,LinkedIn
CAND_00041,REQ_AI_001,2025-02-24,Applied,88.45832929211878,Career Site
CAND_00042,REQ_AI_001,2025-09-01,Applied,12.522055951683143,Career Site
CAND_00043,REQ_AI_001,2025-11-16,Technical Assessment,20.055297784526648,LinkedIn
CAND_00044,REQ_AI_001,2025-05-11,Hired,21.62270091277797,Career Site
CAND_00045,REQ_AI_001,2025-11-03,Applied,69.12118093865404,LinkedIn
CAND_00046,REQ_MFG_003,2025-05-15,Screening,60.30395550532833,Referral
CAND_00047,REQ_BOT_002,2025-01-21,Technical Assessment,61.899156469858816,Agency
CAND_00048,REQ_AI_001,2025-11-25,Applied,94.0773299689501,Agency
CAND_00049,REQ_MFG_003,2025-06-16,Applied,77.5911532807306,Referral
CAND_00050,REQ_MFG_003,2025-10-01,Onsite,12.793692451178318,Agency
CAND_00051,REQ_MFG_003,2026-01-23,Applied,34.7507082425181,Agency
CAND_00052,REQ_BOT_002,2025-03-30,Screening,43.53936461757356,Career Site
CAND_00053,REQ_AI_001,2025-11-12,Screening,39.59615887476049,Referral
CAND_00054,REQ_MFG_003,2025-01-14,Applied,66.93086091618792,Career Site
CAND_00055,REQ_BOT_002,2025-08-30,Applied,89.18931032565625,Career Site
CAND_00056,REQ_BOT_002,2025-09-22,Technical Assessment,30.6051463522788,Agency
CAND_00057,REQ_BOT_002,2025-12-12,Applied,55.18771364211857,Agency
CAND_00058,REQ_MFG_003,2025-02-22,Applied,78.94094219135856,Referral
CAND_00059,REQ_AI_001,2026-01-21,Technical Assessment,41.621805884534936,Agency
CAND_00060,REQ_MFG_003,2025-12-06,Screening,16.811812839929587,Agency
CAND_00061,REQ_MFG_003,2025-04-02,Applied,47.49509652637482,Referral
CAND_00062,REQ_AI_001,2026-01-02,Onsite,5.5222520743028465,Agency
CAND_00063,REQ_AI_001,2025-09-21,Applied,94.23834540022769,Career Site
CAND_00064,REQ_AI_001,2025-02-04,Technical Assessment,7.482120519497304,Referral
CAND_00065,REQ_BOT_002,2025-07-25,Technical Assessment,43.84567152505782,Agency
CAND_00066,REQ_AI_001,2025-03-22,Screening,52.98812610885262,LinkedIn
CAND_00067,REQ_MFG_003,2025-02-19,Screening,98.53038322872855,Referral
CAND_00068,REQ_AI_001,2025-12-26,Hired,16.60218236428608,Referral
CAND_00069,REQ_MFG_003,2026-01-23,Applied,11.443151861235856,LinkedIn
CAND_00070,REQ_BOT_002,2025-01-02,Technical Assessment,0.8706147062543579,Agency
CAND_00071,REQ_MFG_003,2026-01-25,Applied,15.55714368693023,Agency
CAND_00072,REQ_MFG_003,2025-02-23,Applied,48.82101084898314,Referral
CAND_00073,REQ_AI_001,2025-04-16,Applied,48.82101084898314,Referral
CAND_00074,REQ_AI_001,2025-09-17,Offer,21.97067903914004,Agency
CAND_00075,REQ_MFG_003,2025-11-06,Hired,2.052081472932521,Agency
CAND_00076,REQ_AI_001,2025-07-10,Applied,82.66183455024887,Career Site
CAND_00077,REQ_BOT_002,2025-08-06,Applied,36.55957010039668,Referral
CAND_00078,REQ_BOT_002,2025-02-13,Technical Assessment,35.369668658073394,Referral
CAND_00079,REQ_AI_001,2025-06-11,Screening,30.247902916792658,LinkedIn
CAND_00080,REQ_BOT_002,2025-07-21,Applied,97.53732771464209,Career Site
CAND_00081,REQ_AI_001,2025-09-27,Screening,17.011541730928148,Agency
CAND_00082,REQ_MFG_003,2025-12-17,Screening,89.82380639532352,Career Site
CAND_00083,REQ_MFG_003,2025-10-31,Hired,77.68033321398879,Agency
CAND_00084,REQ_BOT_002,2025-09-28,Applied,7.6479955499313075,Agency
CAND_00085,REQ_AI_001,2025-08-03,Screening,98.67291015008487,Career Site
CAND_00086,REQ_AI_001,2025-09-09,Screening,27.136596353901055,Referral
CAND_00087,REQ_BOT_002,2025-07-09,Technical Assessment,9.858292702241233,Agency
CAND_00088,REQ_MFG_003,2025-10-23,Screening,82.93142341257594,Career Site
CAND_00089,REQ_BOT_002,2025-08-01,Screening,70.66755336776998,LinkedIn
CAND_00090,REQ_MFG_003,2025-07-27,Applied,61.72188058779008,Career Site
CAND_00091,REQ_AI_001,2025-08-25,Technical Assessment,15.598086369893316,LinkedIn
CAND_00092,REQ_MFG_003,2025-12-04,Screening,47.84961162559619,Agency
CAND_00093,REQ_BOT_002,2026-01-02,Applied,78.05560268872138,Career Site
CAND_00094,REQ_AI_001,2025-02-22,Screening,30.362393814384024,Career Site
CAND_00095,REQ_BOT_002,2025-10-07,Applied,31.168982851504147,LinkedIn
CAND_00096,REQ_BOT_002,2025-08-05,Applied,0.3140906048122116,Career Site
CAND_00097,REQ_MFG_003,2025-09-09,Onsite,17.424340164537956,Career Site
CAND_00098,REQ_BOT_002,2025-07-07,Screening,48.82101084898314,Agency
CAND_00099,REQ_MFG_003,2026-01-15,Technical Assessment,44.17464916377071,Career Site
CAND_00100,REQ_AI_001,2025-02-10,Applied,98.4234499234434,Referral
CAND_00101,REQ_MFG_003,2025-06-06,Technical Assessment,39.57079635737926,LinkedIn
CAND_00102,REQ_AI_001,2025-01-15,Applied,71.51864547802413,Career Site
CAND_00103,REQ_MFG_003,2025-10-28,Applied,28.191904290472912,LinkedIn
CAND_00104,REQ_BOT_002,2025-03-06,Hired,36.38096411409335,LinkedIn
CAND_00105,REQ_MFG_003,2025-12-11,Technical Assessment,19.072598759089466,LinkedIn
CAND_00106,REQ_MFG_003,2025-11-23,Screening,34.7062368499395,Career Site
CAND_00107,REQ_AI_001,2025-01-09,Applied,48.82101084898314,Career Site
CAND_00108,REQ_BOT_002,2025-12-10,Onsite,99.17728809792494,LinkedIn
CAND_00109,REQ_MFG_003,2025-05-09,Screening,66.42017130717856,Referral
CAND_00110,REQ_BOT_002,2025-05-16,Technical Assessment,48.82101084898314,LinkedIn
